127.0.0.1 - - [11/Mar/2024:18:56:52 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:52 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 200 7373
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:53 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:14 +0900] "POST /jspAjaxProject/ajaxboard/insertBoard.jsp HTTP/1.1" 200 6
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:14 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:22 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:22 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:22 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:22 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:22 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:22 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:23 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:23 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:23 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 200 7373
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:23 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:57:23 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:11:26 +0900] "GET /jspAjaxProject/ajaxboard/mainBoard.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:11:26 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:11:26 +0900] "GET /jspAjaxProject/ajaxboard/listBoard.jsp HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:12:55 +0900] "GET /jspAjaxProject/ajaxboard/detailBoard.jsp?num=1 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:12:55 +0900] "GET /jspAjaxProject/image/avata/b1.png HTTP/1.1" 200 10341
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:13:05 +0900] "GET /jspAjaxProject/ajaxboard/detailBoard.jsp?num=1 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:13:12 +0900] "GET /jspAjaxProject/ajaxboard/detailBoard.jsp?num=1 HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [11/Mar/2024:20:13:21 +0900] "GET /jspAjaxProject/ajaxboard/detailBoard.jsp?num=1 HTTP/1.1" 200 152
